# English collocation frequencies derived from the Open American
# National Corpus (OANC), public domain. Built by
# scripts/build_en_collocations.py — see data/collocations/README.md.
# docs=8805 words=18303304 pairs=73744 min_frequency=5
head	collocate	frequency	relation
bad	reputation	9	adjective_noun
bad	way	9	adjective_noun
bag	body	9	noun_noun
bag	grab	9	noun_noun
bag	little	9	adjective_noun
baker	nicholson	9	noun_noun
balance	pay	9	verb_object
balcony	iron	9	noun_noun
ballet	company	9	noun_noun
band	large	9	adjective_noun
band	pcr	9	noun_noun
band	product	9	noun_noun
band	shift	9	noun_noun
band	specific	9	adjective_noun
band	yield	9	verb_object
bandit	hole	9	noun_noun
bank	dna	9	noun_noun
bank	merger	9	noun_noun
bank	protein	9	noun_noun
bank	south	9	noun_noun
banking	crisis	9	noun_noun
baptist	church	9	noun_noun
baptists	southern	9	noun_noun
bar	restaurant	9	noun_noun
bar	utah	9	noun_noun
barak	leader	9	noun_noun
barely	know	9	adverb_verb
bargain	find	9	verb_object
barri	gòtic	9	noun_noun
barton	mark	9	noun_noun
basal	expression	9	noun_noun
base	home	9	noun_noun
base	salary	9	noun_noun
basic	instinct	9	noun_noun
basic	item	9	adjective_noun
basic	point	9	adjective_noun
basic	price	9	adjective_noun
basic	protein	9	adjective_noun
basic	rule	9	adjective_noun
basis	monthly	9	adjective_noun
basis	reasonable	9	adjective_noun
basis	statewide	9	adjective_noun
battle	long	9	adjective_noun
baucus	ranking	9	noun_noun
bazaar	grand	9	noun_noun
bcr	cross	9	noun_noun
bcr	stimulation	9	noun_noun
beach	house	9	noun_noun
beach	pebble	9	noun_noun
bear	fruit	9	verb_object
bear	son	9	verb_object
beat	people	9	verb_object
beautiful	day	9	adjective_noun
beautifully	carve	9	adverb_verb
beauty	pageant	9	noun_noun
bed	bunk	9	noun_noun
bed	hospital	9	noun_noun
bed	size	9	noun_noun
bed	vascular	9	adjective_noun
beef	eat	9	verb_object
begin	cell	9	verb_subject
begin	group	9	verb_subject
begin	investigation	9	verb_object
begin	movement	9	verb_subject
begin	phase	9	verb_subject
begin	trial	9	verb_subject
begin	year	9	verb_object
beginning	new	9	adjective_noun
behavior	explain	9	verb_object
behavior	model	9	verb_object
believe	board	9	verb_subject
believe	right	9	adverb_verb
believe	scientist	9	verb_subject
bellows	report	9	noun_noun
ben	stein	9	noun_noun
bend	rule	9	verb_object
benefit	demonstrate	9	verb_object
benefit	frequent	9	adjective_noun
benefit	insurance	9	noun_noun
benefit	little	9	adjective_noun
benefit	patient	9	verb_subject
benefit	possible	9	adjective_noun
benefit	primary	9	adjective_noun
benefit	quantify	9	verb_object
benefit	tangible	9	adjective_noun
benfey	christopher	9	noun_noun
benz	mercedes	9	noun_noun
berlin	irving	9	noun_noun
berlin	west	9	noun_noun
berman	howard	9	noun_noun
bestseller	list	9	noun_noun
beta	cell	9	noun_noun
betty	ong	9	noun_noun
bias	dependent	9	adjective_noun
bible	say	9	verb_subject
bidding	competitive	9	adjective_noun
big	contribution	9	adjective_noun
big	decision	9	adjective_noun
big	gripe	9	adjective_noun
big	island	9	noun_noun
big	loss	9	adjective_noun
big	merger	9	adjective_noun
big	type	9	adjective_noun
bill	highway	9	noun_noun
bill	moyers	9	noun_noun
bill	trade	9	noun_noun
binary	complex	9	adjective_noun
bind	covalently	9	adverb_verb
bind	time	9	noun_noun
bio	protein	9	noun_noun
biochemical	marker	9	adjective_noun
biogenesis	npc	9	noun_noun
biographical	information	9	adjective_noun
biological	information	9	adjective_noun
biological	material	9	adjective_noun
biology	developmental	9	adjective_noun
biomarker	point	9	noun_noun
biopsy	muscle	9	noun_noun
biopsy	needle	9	noun_noun
biopsy	specimen	9	noun_noun
biotechnology	upstate	9	noun_noun
biovar	melitensis	9	noun_noun
birth	new	9	noun_noun
bit	save	9	verb_object
bitter	receptor	9	adjective_noun
black	book	9	adjective_noun
black	consumption	9	adjective_noun
black	experience	9	adjective_noun
black	joe	9	noun_noun
black	mayor	9	adjective_noun
black	power	9	adjective_noun
bladder	cancer	9	noun_noun
blame	people	9	verb_object
blast	match	9	noun_noun
blastoderm	margin	9	noun_noun
bleb	formation	9	adjective_noun
blind	trial	9	adjective_noun
block	expression	9	verb_object
block	function	9	verb_object
block	haplotype	9	noun_noun
block	quote	9	noun_noun
block	site	9	verb_object
blood	donate	9	verb_object
blood	new	9	adjective_noun
blood	type	9	noun_noun
blot	line	9	noun_noun
blow	head	9	verb_object
blow	strike	9	verb_object
blue	color	9	adjective_noun
blues	brothers	9	noun_noun
boat	hire	9	verb_object
boat	rock	9	verb_object
boat	wooden	9	adjective_noun
bob	squier	9	noun_noun
bobby	kennedy	9	noun_noun
bodh	gaya	9	noun_noun
body	find	9	verb_object
body	lewy	9	adjective_noun
body	main	9	adjective_noun
body	nuclear	9	adjective_noun
bomb	pipe	9	noun_noun
bomb	plant	9	verb_object
bombing	cole	9	noun_noun
bombing	iraq	9	noun_noun
bombing	suicide	9	noun_noun
bombing	terrorist	9	adjective_noun
bono	commission	9	noun_noun
bono	sonny	9	noun_noun
book	cover	9	verb_object
book	different	9	adjective_noun
book	list	9	noun_noun
book	make	9	verb_subject
book	page	9	noun_noun
book	popular	9	adjective_noun
book	rare	9	adjective_noun
book	shelf	9	noun_noun
book	use	9	verb_object
book	wonderful	9	adjective_noun
boom	economy	9	verb_subject
boost	price	9	verb_object
boost	rating	9	verb_object
boot	disk	9	noun_noun
boothe	luce	9	noun_noun
bootstrap	method	9	noun_noun
border	collie	9	noun_noun
border	crossing	9	noun_noun
border	security	9	noun_noun
boring	pretty	9	adverb_verb
borrelia	burgdorferi	9	noun_noun
boss	party	9	noun_noun
bottle	wine	9	noun_noun
boundary	condition	9	adjective_noun
boutique	fashion	9	noun_noun
bowl	win	9	verb_object
bowles	camilla	9	noun_noun
box	dnaa	9	noun_noun
bracket	high	9	adjective_noun
bradley	respond	9	verb_subject
bradley	win	9	verb_subject
brain	work	9	verb_subject
brand	buy	9	verb_object
break	car	9	verb_subject
break	hum	9	verb_object
break	need	9	verb_object
break	rank	9	verb_object
break	silence	9	verb_object
breast	female	9	adjective_noun
breath	hold	9	verb_object
breed	new	9	adjective_noun
bret	ellis	9	noun_noun
bricio	francisco	9	noun_noun
bridge	disulfide	9	noun_noun
bridge	form	9	verb_object
bridge	play	9	verb_object
brief	daily	9	noun_noun
brief	exposure	9	adjective_noun
bright	future	9	adjective_noun
bring	case	9	verb_object
bring	community	9	verb_object
bring	house	9	verb_object
bring	order	9	verb_object
bring	peace	9	verb_object
bring	power	9	verb_object
bring	result	9	verb_object
bring	tear	9	verb_object
bring	usually	9	adverb_verb
bring	war	9	verb_subject
british	journal	9	noun_noun
british	journalist	9	adjective_noun
british	official	9	adjective_noun
broad	issue	9	adjective_noun
broad	region	9	adjective_noun
broad	support	9	adjective_noun
broadband	dipole	9	noun_noun
broadcast	radio	9	noun_noun
broadway	musical	9	noun_noun
broncos	denver	9	noun_noun
bronx	services	9	noun_noun
bronx	south	9	noun_noun
bronze	door	9	noun_noun
brown	editor	9	noun_noun
brown	james	9	noun_noun
bruce	iwasaki	9	noun_noun
bucket	kick	9	verb_object
buddha	statue	9	noun_noun
buddhist	monastery	9	adjective_noun
budget	entire	9	adjective_noun
budget	execution	9	noun_noun
budget	glossary	9	noun_noun
budget	national	9	adjective_noun
budgetary	flexibility	9	adjective_noun
buffalo	water	9	noun_noun
buffer	kinase	9	noun_noun
buffer	tbe	9	noun_noun
build	building	9	verb_object
build	car	9	verb_object
build	credibility	9	verb_object
build	hum	9	verb_object
build	later	9	adverb_verb
build	people	9	verb_subject
build	prison	9	verb_object
build	product	9	verb_object
build	program	9	verb_object
build	stuff	9	verb_object
building	colonial	9	adjective_noun
building	tree	9	noun_noun
bullet	hole	9	noun_noun
bullet	silver	9	adjective_noun
bulletin	business	9	noun_noun
burden	regulatory	9	adjective_noun
burden	total	9	adjective_noun
bureau	report	9	noun_noun
bus	drive	9	verb_object
bush	camp	9	noun_noun
bush	come	9	verb_subject
bush	endorse	9	verb_object
bush	lead	9	verb_subject
business	local	9	adjective_noun
business	suit	9	noun_noun
business	take	9	verb_object
business	type	9	noun_noun
busy	city	9	adjective_noun
busy	road	9	adjective_noun
button	hot	9	adjective_noun
buy	usually	9	adverb_verb
bytecode	file	9	noun_noun
cabinet	officer	9	noun_noun
cable	industry	9	noun_noun
cable	news	9	noun_noun
cage	group	9	noun_noun
cage	rib	9	noun_noun
calcineurin	inhibitor	9	noun_noun
calcium	concentration	9	noun_noun
calcium	response	9	noun_noun
calcium	serum	9	noun_noun
calcium	transport	9	noun_noun
calculate	correlation	9	verb_object
calculate	difference	9	verb_object
calculate	distance	9	verb_object
calculation	power	9	noun_noun
calculation	rate	9	noun_noun
caldwell	christopher	9	noun_noun
call	gore	9	verb_object
call	house	9	verb_object
call	nyt	9	verb_subject
call	opponent	9	verb_object
call	simply	9	adverb_verb
call	transcript	9	verb_subject
campaign	conduct	9	verb_object
campaign	democratic	9	adjective_noun
campaign	education	9	noun_noun
campaign	mccain	9	noun_noun
campaign	mount	9	verb_object
campaign	start	9	verb_object
camry	toyota	9	noun_noun
canadian	minister	9	adjective_noun
cancer	development	9	noun_noun
cancer	line	9	noun_noun
cancer	population	9	noun_noun
cancer	treat	9	verb_object
candidacy	declare	9	verb_object
candidate	obvious	9	adjective_noun
candidate	prime	9	adjective_noun
candidate	run	9	verb_subject
cap	salary	9	noun_noun
cap	site	9	noun_noun
capability	enhance	9	verb_object
capable	system	9	adjective_noun
capacity	excess	9	adjective_noun
capital	cost	9	noun_noun
capital	intellectual	9	adjective_noun
capital	world	9	noun_noun
capote	truman	9	noun_noun
capt	hazelwood	9	noun_noun
captain	cook	9	noun_noun
capture	city	9	verb_object
capture	enable	9	verb_object
capture	imagination	9	verb_object
capture	microdissection	9	noun_noun
capture	probe	9	noun_noun
car	manufacturer	9	noun_noun
car	model	9	noun_noun
car	passenger	9	noun_noun
car	purchase	9	verb_object
car	station	9	noun_noun
car	stop	9	verb_object
card	give	9	verb_object
card	little	9	adjective_noun
card	meeting	9	noun_noun
card	pokémon	9	noun_noun
care	charity	9	noun_noun
care	company	9	noun_noun
care	long	9	adverb_verb
care	require	9	verb_object
care	resource	9	noun_noun
care	special	9	adjective_noun
care	utilization	9	noun_noun
career	end	9	verb_object
career	entire	9	adjective_noun
carefully	read	9	adverb_verb
carey	mariah	9	noun_noun
caribbean	island	9	adjective_noun
carinii	organism	9	adjective_noun
carl	sagan	9	noun_noun
carlo	simulation	9	noun_noun
carolina	state	9	noun_noun
carrier	program	9	noun_noun
carroll	lewis	9	noun_noun
carry	cash	9	verb_object
carry	day	9	verb_object
carry	hybridization	9	verb_object
carry	piece	9	verb_object
carry	transgene	9	verb_object
carry	warning	9	verb_object
carter	eskew	9	noun_noun
cartoon	page	9	noun_noun
carve	intricately	9	adverb_verb
cascade	initiate	9	verb_object
cascade	mapk	9	noun_noun
cascade	proteolytic	9	adjective_noun
case	decide	9	verb_object
case	find	9	verb_object
case	input	9	noun_noun
case	lose	9	verb_object
case	pursue	9	verb_object
case	severe	9	adjective_noun
case	show	9	verb_subject
case	try	9	verb_object
cash	raise	9	verb_object
casino	indian	9	adjective_noun
castle	harbour	9	noun_noun
castle	rock	9	noun_noun
casual	day	9	adjective_noun
cat	cat	9	noun_noun
cat	love	9	verb_object
cat	person	9	noun_noun
catalyst	replacement	9	noun_noun
catalyze	formation	9	verb_object
catalyze	step	9	verb_object
cataract	nuclear	9	adjective_noun
cataractous	lense	9	adjective_noun
catch	usually	9	adverb_verb
category	divergent	9	adjective_noun
category	exposure	9	noun_noun
category	rate	9	noun_noun
category	specific	9	adjective_noun
catenin	level	9	adjective_noun
catheter	venous	9	adjective_noun
catholic	diocese	9	noun_noun
cause	confusion	9	verb_object
cause	important	9	adjective_noun
cause	injury	9	verb_object
cause	kind	9	verb_object
cause	lack	9	verb_subject
cause	potential	9	adjective_noun
cause	resistance	9	verb_object
cause	stir	9	verb_object
cave	temple	9	noun_noun
ceiling	wooden	9	adjective_noun
celebrate	package	9	verb_subject
celebrity	culture	9	noun_noun
cell	central	9	adjective_noun
cell	cholinergic	9	adjective_noun
cell	coli	9	noun_noun
cell	cytotoxic	9	adjective_noun
cell	different	9	adjective_noun
cell	early	9	adjective_noun
cell	eliminate	9	verb_object
cell	interact	9	verb_subject
cell	interstitial	9	adjective_noun
cell	lyse	9	verb_object
cell	maintain	9	verb_object
cell	new	9	adjective_noun
cell	plasma	9	noun_noun
cell	play	9	verb_subject
cell	plexus	9	noun_noun
cell	possess	9	verb_subject
cell	provide	9	verb_subject
cell	recording	9	noun_noun
cell	similar	9	adjective_noun
cell	sorting	9	noun_noun
cell	support	9	verb_object
cell	transformation	9	noun_noun
cellular	differentiation	9	adjective_noun
cellular	distribution	9	adjective_noun
cellular	dna	9	adjective_noun
cellular	plasticity	9	adjective_noun
cellular	state	9	adjective_noun
cement	ionomer	9	noun_noun
cems	operate	9	verb_object
censure	deal	9	noun_noun
cent	cost	9	verb_object
center	contain	9	verb_subject
center	controller	9	noun_noun
center	cost	9	noun_noun
center	create	9	verb_object
center	diving	9	noun_noun
center	hit	9	verb_object
center	include	9	verb_object
center	lincoln	9	noun_noun
center	manager	9	noun_noun
center	regional	9	adjective_noun
center	science	9	noun_noun
center	technology	9	noun_noun
center	training	9	noun_noun
central	character	9	adjective_noun
central	domain	9	adjective_noun
central	india	9	adjective_noun
central	laboratory	9	adjective_noun
central	liaison	9	adjective_noun
central	line	9	adjective_noun
central	question	9	adjective_noun
centrifugation	speed	9	noun_noun
centromeric	chromatin	9	adjective_noun
century	dictionary	9	noun_noun
century	painting	9	noun_noun
certain	disease	9	adjective_noun
certain	form	9	adjective_noun
certain	function	9	adjective_noun
certain	position	9	adjective_noun
certain	rule	9	adjective_noun
certain	site	9	adjective_noun
certainly	feel	9	adverb_verb
certainly	like	9	adverb_verb
certainty	clinical	9	adjective_noun
chafee	chairman	9	noun_noun
chain	gang	9	noun_noun
chain	mail	9	noun_noun
chain	national	9	adjective_noun
chairman	larry	9	noun_noun
chairman	national	9	noun_noun
chairman	pressler	9	noun_noun
chairman	republican	9	adjective_noun
chairman	richard	9	noun_noun
chairman	say	9	verb_subject
challenge	fiscal	9	adjective_noun
chamber	council	9	noun_noun
chamber	growth	9	noun_noun
chamber	low	9	adjective_noun
chamber	senate	9	noun_noun
championship	national	9	adjective_noun
chance	pass	9	verb_object
change	channel	9	verb_object
change	construction	9	noun_noun
change	describe	9	verb_object
change	explain	9	verb_object
change	fast	9	adverb_verb
change	government	9	verb_subject
change	gross	9	adjective_noun
change	hormonal	9	adjective_noun
change	initiative	9	noun_noun
change	language	9	noun_noun
change	money	9	verb_subject
change	permanent	9	adjective_noun
change	political	9	adjective_noun
change	price	9	verb_subject
change	program	9	verb_subject
change	propose	9	verb_object
change	provide	9	verb_subject
change	ratio	9	verb_subject
change	requirement	9	verb_subject
change	sea	9	noun_noun
change	soon	9	adverb_verb
change	use	9	verb_object
channel	discovery	9	noun_noun
channel	green	9	adjective_noun
chapel	royal	9	noun_noun
character	human	9	adjective_noun
character	national	9	adjective_noun
characteristic	performance	9	noun_noun
characteristics	result	9	noun_noun
characterize	extensively	9	adverb_verb
charge	company	9	verb_subject
charge	cover	9	noun_noun
charge	include	9	verb_subject
charles	lindbergh	9	noun_noun
charles	ruff	9	noun_noun
charlie	glassenberg	9	noun_noun
chart	limit	9	noun_noun
chatterbox	continue	9	verb_subject
cheap	way	9	adjective_noun
check	double	9	adjective_noun
check	listing	9	verb_object
check	mail	9	verb_object
check	page	9	verb_object
cheever	susan	9	noun_noun
chemical	property	9	noun_noun
chemopreventive	efficacy	9	adjective_noun
chernow	ron	9	noun_noun
chest	circumference	9	noun_noun
chest	war	9	noun_noun
chester	west	9	noun_noun
chi	tai	9	noun_noun
chiasma	inner	9	adjective_noun
chicago	metropolitan	9	noun_noun
chicago	press	9	noun_noun
chicken	kentucky	9	noun_noun
chief	council	9	noun_noun
child	develop	9	verb_subject
child	encourage	9	verb_object
child	few	9	adjective_noun
child	health	9	noun_noun
child	produce	9	verb_object
child	provide	9	verb_object
child	receive	9	verb_subject
child	relationship	9	noun_noun
child	save	9	verb_object
childhood	level	9	noun_noun
childhood	obesity	9	noun_noun
childhood	story	9	noun_noun
chinese	cooking	9	adjective_noun
chinese	espionage	9	adjective_noun
chinese	language	9	adjective_noun
chip	generation	9	noun_noun
chip	single	9	adjective_noun
chondrocyte	maturation	9	noun_noun
chondrocyte	rib	9	noun_noun
choose	doctor	9	verb_object
choose	side	9	verb_object
chow	diet	9	noun_noun
chris	patten	9	noun_noun
christian	church	9	adjective_noun
christian	community	9	adjective_noun
christmas	dinner	9	noun_noun
christmas	white	9	adjective_noun
chromosomal	protein	9	adjective_noun
chromosome	inactive	9	adjective_noun
chromosome	loss	9	noun_noun
chronicle	houston	9	noun_noun
chunk	huge	9	adjective_noun
church	little	9	adjective_noun
church	official	9	noun_noun
church	original	9	adjective_noun
church	presbyterian	9	noun_noun
circular	form	9	adjective_noun
circulation	newspaper	9	noun_noun
cisneros	henry	9	noun_noun
cite	clinton	9	verb_subject
cities	twin	9	noun_noun
city	college	9	noun_noun
city	create	9	verb_object
city	department	9	noun_noun
city	father	9	noun_noun
city	grow	9	verb_subject
city	important	9	adjective_noun
city	know	9	verb_object
city	provincial	9	adjective_noun
city	québec	9	noun_noun
civic	organization	9	adjective_noun
civic	virtue	9	adjective_noun
civil	engineer	9	adjective_noun
civil	services	9	noun_noun
civilian	kill	9	verb_object
civilian	population	9	adjective_noun
civilian	target	9	adjective_noun
civilized	society	9	adjective_noun
claim	globe	9	verb_subject
claim	rate	9	noun_noun
claim	responsibility	9	verb_object
claim	victory	9	verb_object
clapton	eric	9	noun_noun
clare	luce	9	noun_noun
clark	marcia	9	noun_noun
clark	say	9	verb_subject
class	genotypic	9	adjective_noun
class	life	9	noun_noun
class	major	9	adjective_noun
classic	rock	9	adjective_noun
classical	concert	9	adjective_noun
classical	design	9	adjective_noun
classification	datum	9	noun_noun
classification	schedule	9	noun_noun
classified	version	9	adjective_noun
clear	definition	9	adjective_noun
clear	glass	9	adjective_noun
clear	pattern	9	adjective_noun
clearly	illustrate	9	adverb_verb
clearly	mark	9	adverb_verb
clearly	reflect	9	adverb_verb
clearly	relate	9	adverb_verb
clearly	remember	9	adverb_verb
client	individual	9	adjective_noun
client	leave	9	verb_subject
cliff	oak	9	noun_noun
cliff	sheer	9	adjective_noun
climate	political	9	adjective_noun
clinic	legal	9	adjective_noun
clinic	outpatient	9	noun_noun
clinic	taxpayer	9	noun_noun
clinical	disease	9	adjective_noun
clinical	finding	9	adjective_noun
clinical	resistance	9	adjective_noun
clinical	severity	9	adjective_noun
clinton	era	9	noun_noun
clinton	express	9	verb_subject
clinton	fail	9	verb_subject
clinton	investigate	9	verb_object
clinton	make	9	verb_subject
clinton	praise	9	verb_object
clinton	rape	9	verb_subject
clinton	receive	9	verb_subject
clipping	grass	9	noun_noun
clock	run	9	verb_object
clockwork	orange	9	noun_noun
clone	fragment	9	verb_object
clone	novel	9	adjective_noun
clone	phage	9	noun_noun
clone	represent	9	verb_object
cloning	system	9	noun_noun
clontech	laboratories	9	noun_noun
close	glenn	9	noun_noun
close	homolog	9	adjective_noun
close	office	9	verb_object
close	race	9	adjective_noun
close	real	9	adverb_verb
close	relatively	9	adverb_verb
close	school	9	verb_object
close	source	9	adjective_noun
closed	session	9	adjective_noun
cloth	diaper	9	noun_noun
cloth	utilization	9	noun_noun
clothe	scantily	9	adverb_verb
club	cotton	9	noun_noun
club	gun	9	noun_noun
club	night	9	noun_noun
club	social	9	adjective_noun
club	theatre	9	noun_noun
clue	offer	9	verb_object
cluster	consist	9	verb_subject
cluster	culture	9	noun_noun
cluster	second	9	adjective_noun
coal	fire	9	verb_object
coal	mining	9	noun_noun
coast	ivory	9	noun_noun
coat	sport	9	noun_noun
coat	trench	9	noun_noun
cobain	kurt	9	noun_noun
cockpit	recorder	9	noun_noun
cod	model	9	noun_noun
code	diagnosis	9	noun_noun
coding	exon	9	adjective_noun
cody	shearer	9	noun_noun
coefficient	extinction	9	noun_noun
coefficient	percent	9	noun_noun
coffee	drink	9	verb_object
cog	score	9	noun_noun
cogeneration	unit	9	noun_noun
coin	term	9	verb_object
cold	stress	9	adjective_noun
cold	warrior	9	adjective_noun
collagen	matrix	9	noun_noun
collar	worker	9	noun_noun
collateral	damage	9	adjective_noun
colleague	dear	9	noun_noun
collect	revenue	9	verb_object
collection	family	9	noun_noun
collection	outstanding	9	adjective_noun
collection	superb	9	noun_noun
colliculus	inferior	9	adjective_noun
collision	course	9	noun_noun
color	dark	9	adjective_noun
column	headline	9	noun_noun
column	post	9	noun_noun
column	represent	9	verb_subject
column	rneasy	9	noun_noun
column	support	9	verb_subject
column	times	9	noun_noun
columnist	write	9	verb_subject
combination	unique	9	adjective_noun
combination	use	9	verb_object
combustion	fuel	9	noun_noun
come	comment	9	verb_subject
come	easily	9	adverb_verb
come	funding	9	verb_subject
come	government	9	verb_subject
come	line	9	verb_subject
come	paper	9	verb_subject
come	push	9	verb_subject
come	south	9	adverb_verb
come	subject	9	verb_subject
coming	second	9	adjective_noun
command	line	9	noun_noun
commence	unit	9	verb_subject
comment	consider	9	verb_object
comment	general	9	adjective_noun
comment	offer	9	verb_object
comment	review	9	verb_object
commercial	district	9	adjective_noun
commercial	success	9	adjective_noun
commission	comply	9	verb_subject
commission	establish	9	verb_object
commission	postal	9	noun_noun
commit	felony	9	verb_object
commit	sin	9	verb_object
commitment	strong	9	adjective_noun
committee	compensation	9	noun_noun
committee	lawyers	9	noun_noun
committee	max	9	noun_noun
committee	need	9	verb_subject
committee	sarbanes	9	noun_noun
committee	security	9	noun_noun
committee	set	9	verb_object
common	component	9	adjective_noun
common	experience	9	adjective_noun
common	name	9	adjective_noun
common	occurrence	9	adjective_noun
common	pattern	9	adjective_noun
commonly	observe	9	adverb_verb
commonly	occur	9	adverb_verb
communication	effective	9	adjective_noun
communication	network	9	noun_noun
communication	technology	9	noun_noun
community	need	9	noun_noun
community	old	9	adjective_noun
community	provide	9	verb_object
community	religious	9	adjective_noun
community	resource	9	noun_noun
company	employ	9	verb_subject
company	face	9	verb_subject
company	french	9	adjective_noun
company	include	9	verb_object
company	india	9	noun_noun
company	know	9	verb_object
company	leave	9	verb_object
company	official	9	noun_noun
company	produce	9	verb_subject
company	profitable	9	adjective_noun
company	research	9	noun_noun
company	sector	9	noun_noun
company	shoe	9	noun_noun
company	successful	9	adjective_noun
company	work	9	verb_subject
compare	program	9	verb_object
compare	score	9	verb_object
compare	signal	9	verb_object
compare	site	9	verb_object
comparison	include	9	verb_subject
competition	direct	9	adjective_noun
competition	face	9	verb_object
competition	process	9	noun_noun
competition	promote	9	verb_object
complete	database	9	adjective_noun
complete	interview	9	verb_object
complete	system	9	adjective_noun
complete	training	9	verb_object
completely	disappear	9	adverb_verb
completely	restore	9	adverb_verb
completion	date	9	noun_noun
complex	contain	9	verb_subject
complex	enzyme	9	noun_noun
complex	factor	9	adjective_noun
complex	increasingly	9	adverb_verb
complex	industrial	9	adjective_noun
complex	shopping	9	noun_noun
complex	synthase	9	noun_noun
complex	transcriptional	9	adjective_noun
complexity	great	9	adjective_noun
complicated	question	9	adjective_noun
complication	major	9	adjective_noun
component	large	9	adjective_noun
component	non	9	adjective_noun
component	second	9	adjective_noun
compound	parent	9	noun_noun
compound	pure	9	adjective_noun
comprehensive	understanding	9	adjective_noun
computer	control	9	noun_noun
computer	dell	9	noun_noun
computer	equipment	9	noun_noun
computer	glitch	9	noun_noun
computer	language	9	noun_noun
computer	macintosh	9	noun_noun
computer	programming	9	noun_noun
computer	scientist	9	noun_noun
computer	specialist	9	noun_noun
concentration	iron	9	noun_noun
concentration	obtain	9	verb_object
concentration	ozone	9	noun_noun
concentration	physiological	9	adjective_noun
concentration	salt	9	noun_noun
conceptual	planning	9	adjective_noun
conceptual	translation	9	adjective_noun
conceptus	development	9	noun_noun
concern	local	9	adjective_noun
concern	potential	9	adjective_noun
conclusion	major	9	adjective_noun
condition	grant	9	noun_noun
condition	inflammatory	9	adjective_noun
condition	meet	9	verb_object
condition	pathological	9	adjective_noun
condition	physiological	9	adjective_noun
condition	pristine	9	adjective_noun
condition	reflect	9	verb_object
condition	severe	9	adjective_noun
condition	static	9	adjective_noun
condition	working	9	noun_noun
conference	exit	9	noun_noun
conference	house	9	noun_noun
confidence	give	9	verb_object
confidence	lose	9	verb_object
confirm	experiment	9	verb_subject
confirm	location	9	verb_object
confirm	official	9	verb_subject
confirm	specificity	9	verb_object
confirmation	delivery	9	noun_noun
conflicting	result	9	adjective_noun
confluent	culture	9	noun_noun
confounding	residual	9	adjective_noun
congress	establish	9	verb_subject
conjugate	directly	9	adverb_verb
conjure	image	9	verb_object
consensus	transcript	9	noun_noun
consent	sign	9	verb_object
consequence	dire	9	adjective_noun
conservation	strong	9	adjective_noun
conservatism	social	9	adjective_noun
conservative	movement	9	adjective_noun
conservative	overly	9	adverb_verb
conservative	principle	9	adjective_noun
conserve	poorly	9	adverb_verb
conserved	domain	9	adjective_noun
consider	epa	9	verb_subject
consider	invasion	9	verb_object
consider	issue	9	verb_object
consider	organization	9	verb_subject
consider	way	9	verb_object
consortium	international	9	adjective_noun
constant	dollar	9	adjective_noun
constant	factor	9	adjective_noun
constant	pressure	9	adjective_noun
constant	temperature	9	adjective_noun
constitution	require	9	verb_subject
construct	fusion	9	noun_noun
construct	map	9	verb_object
construct	plasmid	9	adjective_noun
construction	management	9	noun_noun
construction	phase	9	noun_noun
consultant	hire	9	verb_object
consumer	glscf	9	noun_noun
consumer	harm	9	verb_object
consumer	pay	9	verb_subject
consumer	report	9	noun_noun
consumer	want	9	verb_subject
consumption	report	9	verb_object
consumption	total	9	adjective_noun
contact	eye	9	noun_noun
contain	documentation	9	verb_subject
contain	dtt	9	verb_object
contain	epitope	9	verb_object
contain	long	9	adverb_verb
contain	node	9	verb_subject
contain	passage	9	verb_object
contain	room	9	verb_subject
contain	specie	9	verb_object
contain	tomb	9	verb_object
contain	usually	9	adverb_verb
container	large	9	adjective_noun
containment	cost	9	noun_noun
contamination	genomic	9	adjective_noun
content	provider	9	noun_noun
context	cultural	9	adjective_noun
context	social	9	adjective_noun
continue	development	9	verb_subject
continue	discussion	9	verb_subject
continue	number	9	verb_subject
continue	relationship	9	verb_object
continue	research	9	verb_subject
continue	south	9	adverb_verb
continue	story	9	verb_subject
continuous	presence	9	adjective_noun
contract	negotiate	9	verb_object
contract	performance	9	noun_noun
contract	work	9	noun_noun
contract	year	9	noun_noun
contrast	total	9	adjective_noun
contribute	effect	9	verb_subject
contribute	equally	9	adverb_verb
contribution	direct	9	adjective_noun
contribution	generous	9	adjective_noun
contribution	provide	9	verb_subject
contributor	key	9	adjective_noun
control	effort	9	noun_noun
control	engineering	9	noun_noun
control	glucose	9	noun_noun
control	isotype	9	noun_noun
control	new	9	adjective_noun
control	nox	9	noun_noun
control	pain	9	noun_noun
control	point	9	noun_noun
control	policy	9	noun_noun
control	profile	9	noun_noun
control	proper	9	adjective_noun
control	reaction	9	noun_noun
control	require	9	verb_object
control	response	9	noun_noun
conversation	national	9	adjective_noun
convict	people	9	verb_object
cool	temperature	9	adjective_noun
coordinator	counterterrorism	9	noun_noun
coordinator	study	9	noun_noun
cop	land	9	noun_noun
copy	family	9	noun_noun
copy	good	9	adjective_noun
cord	injury	9	noun_noun
cord	lumbosacral	9	adjective_noun
cordless	phone	9	adjective_noun
core	process	9	noun_noun
core	subunit	9	noun_noun
core	villous	9	adjective_noun
corner	cut	9	verb_object
cornwell	patricia	9	noun_noun
corporation	private	9	adjective_noun
corporation	small	9	adjective_noun
