# English collocation frequencies derived from the Open American
# National Corpus (OANC), public domain. Built by
# scripts/build_en_collocations.py — see data/collocations/README.md.
# docs=8805 words=18303304 pairs=73744 min_frequency=5
head	collocate	frequency	relation
cdna	library	138	noun_noun
electrophoresis	gel	138	noun_noun
family	protein	138	noun_noun
fund	raising	138	noun_noun
gene	target	138	noun_noun
hiv	infection	138	noun_noun
number	reduce	138	verb_object
beach	sandy	137	adjective_noun
group	small	137	adjective_noun
population	study	137	noun_noun
act	reform	136	noun_noun
air	clean	136	noun_noun
benefit	health	136	noun_noun
central	pundit	136	noun_noun
daytime	number	136	adjective_noun
effect	significant	136	adjective_noun
good	movie	136	adjective_noun
grocery	store	136	noun_noun
indicate	study	136	verb_subject
ken	starr	136	noun_noun
model	role	136	noun_noun
mortality	rate	136	noun_noun
advantage	take	135	verb_object
air	conditioning	135	noun_noun
america	north	135	noun_noun
bad	news	135	adjective_noun
boris	yeltsin	135	noun_noun
group	treatment	135	noun_noun
human	services	135	noun_noun
membrane	plasma	135	noun_noun
office	oval	135	noun_noun
party	republican	135	noun_noun
awful	lot	134	adjective_noun
good	reason	134	adjective_noun
milosevic	slobodan	134	noun_noun
peace	process	134	noun_noun
antonio	san	133	noun_noun
authority	port	133	noun_noun
away	take	133	adverb_verb
blair	tony	133	noun_noun
carvell	tim	133	noun_noun
case	control	133	noun_noun
cell	phone	133	noun_noun
evidence	find	133	verb_object
time	warner	133	noun_noun
alcohol	problem	132	noun_noun
antibody	polyclonal	132	adjective_noun
company	insurance	132	noun_noun
lat	say	132	verb_subject
lymph	node	132	noun_noun
nucleotide	sequence	132	noun_noun
affinity	high	131	adjective_noun
body	mass	131	noun_noun
level	mrna	131	noun_noun
use	word	131	verb_object
animal	model	130	noun_noun
blast	search	130	noun_noun
boy	little	130	adjective_noun
counsel	general	130	noun_noun
datum	provide	130	verb_object
firm	law	130	noun_noun
identity	sequence	130	noun_noun
management	system	130	noun_noun
new	system	130	adjective_noun
organization	world	130	noun_noun
variety	wide	130	adjective_noun
clinton	say	129	verb_subject
consensus	sequence	129	noun_noun
credit	tax	129	noun_noun
datum	unpublished	129	adjective_noun
estimate	provide	129	verb_object
general	office	129	noun_noun
old	year	129	noun_noun
area	rural	128	adjective_noun
business	unit	128	noun_noun
center	national	128	noun_noun
center	trade	128	noun_noun
extracellular	matrix	128	adjective_noun
free	market	128	adjective_noun
insight	provide	128	verb_object
live	long	128	adverb_verb
nitrogen	oxide	128	noun_noun
twice	wash	128	adverb_verb
buy	house	127	verb_object
cell	stem	127	noun_noun
committee	national	127	noun_noun
contain	site	127	verb_object
demonstrate	result	127	verb_subject
finding	suggest	127	verb_subject
frame	open	127	adjective_noun
free	trade	127	adjective_noun
island	long	127	noun_noun
north	tower	127	noun_noun
being	human	126	adjective_noun
center	medical	126	noun_noun
come	people	126	verb_subject
immune	system	126	adjective_noun
lead	nyt	126	noun_noun
life	technologies	126	noun_noun
nuclear	weapon	126	adjective_noun
report	study	126	verb_subject
sale	tax	126	noun_noun
seriously	take	126	adverb_verb
south	tower	126	noun_noun
away	throw	125	adverb_verb
big	difference	125	adjective_noun
disease	heart	125	noun_noun
pool	swimming	125	noun_noun
real	world	125	adjective_noun
acid	nucleic	124	adjective_noun
datum	experimental	124	adjective_noun
decade	past	124	adjective_noun
degree	high	124	adjective_noun
difference	make	124	verb_object
distribution	normal	124	adjective_noun
district	school	124	noun_noun
dollar	pay	124	verb_object
janet	reno	124	noun_noun
nixon	richard	124	noun_noun
reform	welfare	124	noun_noun
result	show	124	verb_subject
active	site	123	adjective_noun
air	open	123	adjective_noun
call	phone	123	noun_noun
campaign	presidential	123	adjective_noun
central	group	123	adjective_noun
change	expression	123	noun_noun
fund	raiser	123	noun_noun
kingdom	united	123	noun_noun
leader	majority	123	noun_noun
people	poor	123	adjective_noun
previous	report	123	adjective_noun
age	old	122	adjective_noun
alignment	multiple	122	adjective_noun
analysis	regression	122	noun_noun
bill	pay	122	verb_object
cancer	prostate	122	noun_noun
cycle	life	122	noun_noun
expression	protein	122	noun_noun
model	regression	122	noun_noun
phylogenetic	tree	122	adjective_noun
result	test	122	noun_noun
day	good	121	adjective_noun
express	gene	121	verb_object
expression	induce	121	verb_object
improper	payment	121	adjective_noun
money	raise	121	verb_object
synovial	tissue	121	adjective_noun
accounting	general	120	noun_noun
art	modern	120	noun_noun
cell	memory	120	noun_noun
century	early	120	adjective_noun
commit	crime	120	verb_object
concentration	low	120	adjective_noun
control	negative	120	adjective_noun
control	technology	120	noun_noun
datum	point	120	noun_noun
dinner	party	120	noun_noun
domestic	violence	120	adjective_noun
general	population	120	adjective_noun
good	point	120	adjective_noun
house	old	120	adjective_noun
hypothesis	null	120	adjective_noun
main	road	120	adjective_noun
money	save	120	verb_object
official	senior	120	adjective_noun
program	service	120	noun_noun
short	time	120	adjective_noun
site	visit	120	verb_object
state	university	120	noun_noun
cancer	incidence	119	noun_noun
david	plotz	119	noun_noun
dna	fragment	119	noun_noun
medical	record	119	adjective_noun
officer	police	119	noun_noun
pair	probe	119	noun_noun
rate	saving	119	noun_noun
act	air	118	noun_noun
care	primary	118	adjective_noun
common	denominator	118	noun_noun
end	point	118	noun_noun
example	good	118	adjective_noun
harassment	sexual	118	adjective_noun
high	price	118	adjective_noun
interest	public	118	adjective_noun
raise	taxis	118	verb_object
activity	physical	117	adjective_noun
control	positive	117	adjective_noun
datum	sequence	117	noun_noun
decision	make	117	verb_object
expression	vector	117	noun_noun
great	number	117	adjective_noun
home	page	117	noun_noun
ireland	northern	117	noun_noun
los	times	117	noun_noun
main	street	117	adjective_noun
measure	performance	117	noun_noun
molecular	weight	117	adjective_noun
pair	word	117	noun_noun
provider	service	117	noun_noun
act	reduction	116	noun_noun
attestation	engagement	116	noun_noun
blood	peripheral	116	adjective_noun
cluster	gene	116	noun_noun
communication	personal	116	adjective_noun
focus	group	116	noun_noun
new	orleans	116	noun_noun
alan	greenspan	115	noun_noun
analysis	data	115	noun_noun
analyze	datum	115	verb_object
article	read	115	verb_object
fold	increase	115	adjective_noun
legal	system	115	adjective_noun
article	say	114	verb_subject
cord	spinal	114	adjective_noun
forbes	steve	114	noun_noun
help	need	114	verb_object
letter	write	114	verb_object
total	volume	114	adjective_noun
agarose	gel	113	noun_noun
association	national	113	noun_noun
center	world	113	noun_noun
committee	senate	113	noun_noun
conventional	wisdom	113	adjective_noun
delivery	service	113	noun_noun
emission	reduction	113	noun_noun
experiment	microarray	113	noun_noun
federal	law	113	adjective_noun
frequency	high	113	adjective_noun
information	relevant	113	adjective_noun
legal	rural	113	noun_noun
page	web	113	noun_noun
action	agency	112	noun_noun
civilian	interview	112	adjective_noun
coast	west	112	noun_noun
emission	rate	112	noun_noun
future	study	112	adjective_noun
kid	little	112	adjective_noun
pcr	reaction	112	noun_noun
personal	saving	112	adjective_noun
polymerase	reaction	112	noun_noun
provide	support	112	verb_object
agency	protection	111	noun_noun
cell	lysate	111	noun_noun
family	reunion	111	noun_noun
half	hour	111	adjective_noun
know	maybe	111	adverb_verb
address	question	110	verb_object
board	review	110	noun_noun
bring	home	110	adverb_verb
culture	tissue	110	noun_noun
ethnic	group	110	adjective_noun
frame	time	110	noun_noun
improve	performance	110	verb_object
increase	rate	110	verb_object
kinase	tyrosine	110	noun_noun
laurence	urdang	110	noun_noun
low	relatively	110	adverb_verb
old	people	110	adjective_noun
action	relevant	109	adjective_noun
age	teen	109	noun_noun
america	latin	109	noun_noun
analysis	initial	109	adjective_noun
care	center	109	noun_noun
cell	population	109	noun_noun
collection	datum	109	noun_noun
contain	information	109	verb_object
cost	delivery	109	noun_noun
daily	news	109	noun_noun
day	present	109	adjective_noun
gore	president	109	noun_noun
phosphorylation	tyrosine	109	noun_noun
recent	report	109	adjective_noun
second	time	109	adjective_noun
allowance	dioxide	108	noun_noun
amplification	pcr	108	noun_noun
cell	count	108	noun_noun
control	study	108	noun_noun
elementary	school	108	adjective_noun
gene	human	108	adjective_noun
help	people	108	verb_object
information	share	108	verb_object
lead	page	108	verb_object
narrow	street	108	adjective_noun
new	program	108	adjective_noun
office	post	108	noun_noun
press	release	108	noun_noun
address	problem	107	verb_object
analysis	meta	107	adjective_noun
benjamin	netanyahu	107	noun_noun
cell	control	107	noun_noun
channel	ion	107	noun_noun
class	mail	107	noun_noun
collection	information	107	noun_noun
death	row	107	noun_noun
justice	system	107	noun_noun
new	zealand	107	noun_noun
opportunity	provide	107	verb_object
point	starting	107	noun_noun
post	york	107	noun_noun
adhesion	cell	106	noun_noun
city	old	106	noun_noun
cost	high	106	adjective_noun
council	security	106	noun_noun
english	word	106	adjective_noun
incidence	rate	106	noun_noun
increase	level	106	verb_object
membrane	protein	106	noun_noun
period	year	106	noun_noun
randomly	select	106	adverb_verb
reduce	risk	106	verb_object
